network,type,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.033816425,0.966183575,0.120772947,0.019323671,0.879227053,0.15942029,NaN,NaN,,5.288321657,0.73965739,0.291710343,0.565340497,0.510716464,1.903906413,0.348763628,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.072463768,0.927536232,0.125603865,0.019323671,0.855072464,0.178743961,NaN,NaN,,4.111923064,0.732079434,0.275768406,0.518623173,0.484850205,1.854772678,0.343552378,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.038647343,0.072463768,0.888888889,0.086956522,0.019323671,0.830917874,0.086956522,2.195876289,0.811880216,1.986771734,4.30100977,0.721052334,0.339220958,0.511548733,0.497045715,1.865636335,0.27825448,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.014563107,0.072815534,0.912621359,0.131067961,0.04368932,0.844660194,0.199029126,1.88372093,0.447708575,1.633468456,4.025702103,0.742130153,0.278699258,0.506969714,0.456065526,1.805914838,0.356277366,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.09223301,0.90776699,0.082524272,0.029126214,0.849514563,0.053398058,NaN,NaN,,3.735777863,0.736821642,0.34149936,0.576173181,0.521695822,1.77159973,0.260090566,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.009661836,0.072463768,0.917874396,0.120772947,0.028985507,0.845410628,0.198067633,2.516129032,0.851311449,1.491361694,4.487171468,0.734833119,0.268561844,0.577358373,0.560686591,1.919411925,0.390328131,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.072463768,0.927536232,0.149758454,0.014492754,0.884057971,0.183574879,NaN,NaN,,4.103592542,0.729358164,0.231972742,0.52651602,0.474216398,1.770316755,0.355307851,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.101449275,0.038647343,0.816425121,0.15942029,NaN,NaN,,3.83999991,0.735642658,0.273544291,0.609251111,0.570473044,1.85376673,0.346299206,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.09178744,0.038647343,0.835748792,0.09178744,NaN,NaN,,3.810044361,0.742472535,0.258817829,0.578807287,0.516518611,1.82065177,0.310625852,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.077294686,0.922705314,0.130434783,0.024154589,0.874396135,0.140096618,NaN,NaN,,4.105853799,0.741166794,0.253202278,0.562429395,0.520789706,1.810778694,0.376115014,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082524272,0.917475728,0.072815534,0.063106796,0.805825243,0.106796117,NaN,NaN,,3.732480853,0.731688927,0.254248024,0.540886726,0.486839959,1.843621079,0.287548978,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.072463768,0.927536232,0.15942029,0.024154589,0.859903382,0.169082126,NaN,NaN,,5.161380108,0.713170906,0.206887818,0.570589894,0.523518971,1.874063296,0.353635819,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.004830918,0.082125604,0.913043478,0.125603865,0.038647343,0.850241546,0.120772947,2.107142857,0.737326789,1.447158031,4.044340555,0.716840218,0.294384268,0.546773515,0.499352175,1.837415122,0.302156573,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.077294686,0.922705314,0.082125604,0.024154589,0.8647343,0.038647343,NaN,NaN,,4.039078556,0.73091146,0.317348166,0.525350139,0.47317613,1.801951142,0.246448367,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.087378641,0.912621359,0.126213592,0.029126214,0.854368932,0.126213592,2.055555556,0.23570226,1.255272505,3.822598496,0.725767328,0.296207267,0.557358068,0.500633843,1.812633241,0.320790927,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.048309179,0.951690821,0.111111111,0.028985507,0.859903382,0.120772947,NaN,NaN,,4.495740708,0.724808343,0.243906642,0.542760303,0.488863926,1.803929944,0.331015402,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.043478261,0.072463768,0.884057971,0.120772947,0.019323671,0.826086957,0.125603865,2.047244094,0.640662699,2.103803721,5.649910236,0.734862813,0.315013351,0.583140114,0.558606327,1.903854299,0.367032764,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.115942029,0.019323671,0.869565217,0.1352657,NaN,NaN,,4.09572956,0.713448195,0.25965376,0.546213425,0.488491422,1.83464509,0.331196955,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.063106796,0.936893204,0.145631068,0.009708738,0.883495146,0.160194175,NaN,NaN,,5.293418993,0.733723114,0.282456753,0.575713038,0.531429706,1.918430842,0.361832416,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.130434783,0.019323671,0.787439614,0.15942029,NaN,NaN,,4.14431298,0.732579266,0.246351956,0.511402,0.461555435,1.862158836,0.296854425,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.067961165,0.932038835,0.126213592,0.024271845,0.868932039,0.160194175,NaN,NaN,,4.315546017,0.72638431,0.236036095,0.510958992,0.456687627,1.809958385,0.323645468,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.009661836,0.082125604,0.90821256,0.115942029,0.009661836,0.850241546,0.125603865,1.666666667,0.483045892,1.322219295,4.503462167,0.734226995,0.252537028,0.580549034,0.531216438,1.802426471,0.344116136,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.106280193,0.019323671,0.855072464,0.096618357,NaN,NaN,,4.386418496,0.722326287,0.22697559,0.620590848,0.562884582,1.912334197,0.318474883,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.125603865,0.028985507,0.850241546,0.173913043,NaN,NaN,,4.099192423,0.729236279,0.224132592,0.646852049,0.593876764,1.905019888,0.392898531,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.048309179,0.082125604,0.869565217,0.149758454,0.019323671,0.850241546,0.169082126,2.323699422,0.820779665,2.238046103,4.664025956,0.724298918,0.322367919,0.554167448,0.550336598,1.869908111,0.338783584,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.06763285,0.93236715,0.09178744,0.033816425,0.835748792,0.140096618,NaN,NaN,,4.464132428,0.749571732,0.285145239,0.556655893,0.531835119,1.83898555,0.318882979,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.120772947,0.879227053,0.111111111,0.043478261,0.801932367,0.198067633,NaN,NaN,,3.34843226,0.736321561,0.264427021,0.521882897,0.487270073,1.878969777,0.327732181,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.057971014,0.942028986,0.125603865,0.033816425,0.850241546,0.1352657,NaN,NaN,,5.145754094,0.730559982,0.206381496,0.621323266,0.578631429,1.888137586,0.385480838,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.06763285,0.93236715,0.1352657,0.019323671,0.874396135,0.144927536,NaN,NaN,,4.657135311,0.726412767,0.236299255,0.622161236,0.559324961,1.863265446,0.402818981,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.087378641,0.072815534,0.839805825,0.097087379,0.038834951,0.810679612,0.121359223,2.0969163,0.792296543,2.356025857,4.430319506,0.724756399,0.304101915,0.577011482,0.522424986,1.857908639,0.312053653,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.014563107,0.077669903,0.90776699,0.116504854,0.038834951,0.839805825,0.194174757,2.048780488,0.545491499,1.612783857,4.635234551,0.708004,0.24964,0.571823321,0.539607105,2.012542443,0.348929093,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.125603865,0.043478261,0.845410628,0.140096618,NaN,NaN,,4.170781805,0.728829373,0.309732378,0.532955903,0.520927641,1.866620402,0.343001276,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.077669903,0.922330097,0.09223301,0.014563107,0.839805825,0.169902913,NaN,NaN,,3.859841577,0.760511569,0.242299234,0.571453983,0.495201773,1.883161262,0.296578655,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.09178744,0.024154589,0.859903382,0.077294686,2.111111111,0.323380833,1.255272505,3.84239375,0.738007493,0.302844594,0.529770166,0.490235703,1.729175318,0.261872236,,,,,,,,,,,,,,,,,,,,
