Cons._sp.,Resource_sp.
Asaphellus cuervoae,Peltocystis cornuta
Asaphellus cuervoae,Macrocystella bohemica
Asaphellus cuervoae,"""Didymograptus sp. 1"""
Asaphellus cuervoae,Didymograptid indet.
Asaphellus cuervoae,Koremagraptus sp.
Asaphellus cuervoae,Webbyites felix
Asaphellus cuervoae,Rhabdopleura-like epibiont
Asaphellus cuervoae,Gamalites? sp.
Asaphellus fezouataensis ,Benthic detritus
Asaphellus fezouataensis ,Plectorthis simplex
Asaphellus fezouataensis ,Angusticardinia sp.
Asaphellus fezouataensis ,Wosekella sp.
Asaphellus fezouataensis ,Celdobolus sp.
Asaphellus fezouataensis ,Carcassonnella sp.
Asaphellus fezouataensis ,Wiwaxiid
Asaphellus fezouataensis ,Calvapilosa kroegeri
Asaphellus fezouataensis ,Palaeoscolex cf. tenensis
Asaphellus fezouataensis ,Furca sp. 1
Asaphellus fezouataensis ,Furca sp. 2
Asaphellus fezouataensis ,Furca sp. 3
Asaphellus fezouataensis ,Enosiaspis hrungnir
Asaphellus fezouataensis ,Setapedites abundantis
Asaphellus fezouataensis ,Tariccoia tazagurtensis
Asaphellus fezouataensis ,Cheloniellid
Asaphellus fezouataensis ,Apatokephalus cf. incisus
Asaphellus fezouataensis ,Orometopus sp.
Asaphellus fezouataensis ,Foulonia peregrina
Asaphellus fezouataensis ,Foulonia sp.
Asaphellus fezouataensis ,Toletanaspis aff. borni
Asaphellus fezouataensis ,Bavarilla zemmourensis
Asaphellus fezouataensis ,Bavarilla sp.
Asaphellus fezouataensis ,Colpocoryphe thorali
Asaphellus fezouataensis ,Colpocoryphe pradesensis
Asaphellus fezouataensis ,Pharostomina sp. 
Asaphellus fezouataensis ,Agerina quadrata
Asaphellus fezouataensis ,Geragnostus aff. occitanus
Asaphellus fezouataensis ,Geragnostus sp.
Asaphellus fezouataensis ,Beltella sp.
Asaphellus fezouataensis ,Ampyx priscus
Asaphellus fezouataensis ,Parabathycheilus gallicus
Asaphellus fezouataensis ,Eoharpes sp.
Asaphellus fezouataensis ,Nileus deynouxi
Asaphellus fezouataensis ,Palaeosphaeronites sp.
Asaphellus fezouataensis ,Palaeosphaeronites? prokopi
Asaphellus fezouataensis ,Aristocystites cf. bohemicus (sinuous?)
Asaphellus fezouataensis ,Balantiocystis regnelli
Asaphellus fezouataensis ,Rhopalocystis destombesi
Asaphellus fezouataensis ,Rhopalocystis fraga
Asaphellus fezouataensis ,Rhopalocystis grandis
Asaphellus fezouataensis ,Rhopalocystis havliceki
Asaphellus fezouataensis ,Rhopalocystis zagoraensis
Asaphellus fezouataensis ,Lingulocystis elongata
Asaphellus fezouataensis ,cf. Pareocrinus
Asaphellus fezouataensis ,Eocrinoidea indet. sp. 1
Asaphellus fezouataensis ,Eocrinoidea indet. sp. 2
Asaphellus fezouataensis ,Eocrinoidea indet.
Asaphellus fezouataensis ,Aethocrinus cf. moorei
Asaphellus fezouataensis ,Rhenopyrgid indet.
Asaphellus fezouataensis ,Amygdalotheca griffei
Asaphellus fezouataensis ,Anatifopsis trapeziiformis
Asaphellus fezouataensis ,Aspidocarpus sp.
Asaphellus fezouataensis ,Chauvelicystis ubaghsi
Asaphellus fezouataensis ,Chauvelicystis spinosa
Asaphellus fezouataensis ,Chauvelicystis vizcainoi
Asaphellus fezouataensis ,Chauvelicystis sp.
