Cons._sp.,Resource_sp.,Certainty level
Bactroceras sp.,Tetragraptus cf. approximatus,1
Bactroceras sp.,Tetragraptus quadribrachiatus,1
Bactroceras sp.,Tetragraptus reclinatus,1
Bactroceras sp.,Tetragraptus serra,1
Bactroceras sp.,Tetragraptus tornquisti,1
Bactroceras sp., 'Tetragraptus' bulmani,1
Bactroceras sp.,Tetragraptus sp.,1
Bactroceras sp.,Araneograptus murrayi,1
Bactroceras sp.,Dictyonema sp.,1
Bactroceras sp.,Tuboid,1
Bactroceras sp.,Anisograptus cf. matanensis,1
Bactroceras sp.,Bryograptus divergens,1
Bactroceras sp.,Bryograptus kjerulfi cumbrensis,1
Bactroceras sp.,Bryograptus lapworthi,1
Bactroceras sp.,Rhabdinopora flabelliforme cf. anglica,1
Bactroceras sp.,Rhabdinopora flabelliforme flabelliforme,1
Bactroceras sp.,Rhabdinopora flabelliforme multithecatum,1
Bactroceras sp.,Rhabdinopora flabelliformis socialis,1
Bactroceras sp.,Rhabdinopora flabelliformis canadenisis,1
Bactroceras sp.,Rhabdinopora flabelliforme norvegicum,1
Bactroceras sp.,Acrograptus nicholsoni,1
Bactroceras sp.,Adelograptus sp.,1
Bactroceras sp.,Azygograptus eivionicus,1
Bactroceras sp.,Azygograptus sp.,1
Bactroceras sp.,Etagraptus putillus,1
Bactroceras sp.,Hermannograptus sp.,1
Bactroceras sp.,Isograptus caduceus arcuatus,1
Bactroceras sp.,Isograptus caduceus gracilis,1
Bactroceras sp.,Isograptus furcula,1
Bactroceras sp.,Pterograptus sp.,1
Bactroceras sp.,Schizograptus sp.,1
Bactroceras sp.,Temnograptus multiflex,1
Bactroceras sp.,Temnograptus cf. noveboracensis,1
Bactroceras sp.,Temnograptus ramulus,1
Bactroceras sp.,Adelograptus tenellus,1
Bactroceras sp.,Choristograptus louai,1
Bactroceras sp.,Ancoragraptus bulmani,1
Bactroceras sp.,?Cymatograptus protobalticus,1
Bactroceras sp.,?Baltograptus jacksoni,1
Bactroceras sp.,Baltograptus minutus,1
Bactroceras sp.,Baltograptus deflexus,1
Bactroceras sp.,?Baltograptus kurcki,1
Bactroceras sp.,Expansograptus sp.,1
Bactroceras sp.,Webbyites felix,1
Bactroceras sp.,Rhabdopleura-like epibiont,1
Bactroceras sp.,Hyolithes sp.,1
Bactroceras sp.,Drepanoistodus? cf. pervetus,1
Bactroceras sp.,Drepanoistodus cf. forceps,1
Bactroceras sp.,Acodus deltatus,1
Bactroceras sp.,Cornuodus longibasis,1
Bactroceras sp.,Drepanodus arcuatus,1
Bactroceras sp.,Paltodus cf. inaequalis,1
Bactroceras sp.,Parapaltodus aff. flexuosus,1
Bactroceras sp.,Parapaltodus aff. simplicissimus,1
Bactroceras sp.,Paroistodus cf. proteus,1
Bactroceras sp.,Paroistodus cf. parallellus,1
Bactroceras sp.,Periodon cf. selenopsis,1
Bactroceras sp.,Periodon cf. primus,1
Bactroceras sp.,Prioniodus sp.,1
Bactroceras sp.,Prioniodus cf. gilberti,1
Bactroceras sp.,Protopanderodus cf. leonardii,1
Bactroceras sp.,Scalpellodus aff. gracilis,1
Bactroceras sp.,Scolopodus aff. krummi,1
Bactroceras sp.,Semiacontiodus sp.,1
Bactroceras sp.,Semiacontiodus cf. cornuformis,1
Bactroceras sp.,Stolodus cf. stola,1
Bactroceras sp.,Tripodus sp.,1
Bactroceras sp.,Tripodus aff. Laevis,1
Bactroceras sp.,Tropodus sp.,1
Bactroceras sp.,Tropodus cf. sweeti,1
Bathmoceras australe,Ranorthis fasciata,2
Bathmoceras australe,undet. Athyridida,2
Bathmoceras australe,Acrothele sp.,2
Bathmoceras australe,Plectorthis simplex,2
Bathmoceras australe,Angusticardinia sp.,2
Bathmoceras australe,Lingula salteri,2
Bathmoceras australe,Orbithele vana,2
Bathmoceras australe,Paurorthis tadristensis,2
Bathmoceras australe,Tarfaya marocana,2
Bathmoceras australe,Wosekella sp.,2
Bathmoceras australe,Monobolina sp.,2
Bathmoceras australe,Elliptoglossa sp.,2
Bathmoceras australe,Celdobolus sp.,2
Bathmoceras australe,Discinoidea?,2
Bathmoceras australe,undet. Dalmanelloidea,2
Bathmoceras australe,Babinka prima,2
Bathmoceras australe,Ctenodonta escosurae,2
Bathmoceras australe,Praenucula sp.,2
Bathmoceras australe,Redonia michelae,2
Bathmoceras australe,Coxiconchia guiraudi,2
Bathmoceras australe,Alococoncha?,1
Bathmoceras australe,Cardiolaria? sp.,2
Bathmoceras australe,Cienagomya? sp.,2
Bathmoceras australe,Ekaterodonta courtessolei,2
Bathmoceras australe,Glyptarca sp.,2
Bathmoceras australe,Pelecyogyra fezouataensis,2
Bathmoceras australe,Sinuites sp.,2
Bathmoceras australe,Lesueurilla prima,2
Bathmoceras australe,undet. Platyceratoidea,2
Bathmoceras australe,Thoralispira laevis,1
Bathmoceras australe,Thoralispira? cf. occitana,1
Bathmoceras australe,Carcassonnella courtessolei,1
Bathmoceras australe,Carcassonnella vizcainoi,1
Bathmoceras australe,Carcassonnella sp.,1
Bathmoceras australe,Ribeiria sp.,1
Bathmoceras australe,Bactroceras sp.,1
Bathmoceras australe,Bathmoceras taichoutense,1
Bathmoceras australe,Rioceras sp.,1
Bathmoceras australe,Destombesiceras zagorense,1
Bathmoceras australe,Polymeres sp.,1
Bathmoceras australe,Protocyptendoceras longicameratum,1
Bathmoceras australe,Hurdia sp.,1
Bathmoceras australe,Furca sp. 1,1
Bathmoceras australe,Furca sp. 2,1
Bathmoceras australe,Furca sp. 3,1
Bathmoceras australe,Enosiaspis hrungnir,1
Bathmoceras australe,Leanchoilia sp.,1
Bathmoceras australe,Possible waptiid,1
Bathmoceras australe, 'Synziphosurine'/Synziphosurina?,1
Bathmoceras australe,Chasmataspidid,1
Bathmoceras australe,Possible pycnogonid,1
Bathmoceras australe,Possible helmetiid,1
Bathmoceras australe,Possible retifaciid,1
Bathmoceras australe,Naraoiid,1
Bathmoceras australe,Tariccoia tazagurtensis,1
Bathmoceras australe,Chlupacaris? sp.,1
Bathmoceras australe,Cheloniellid,1
Bathmoceras australe,Phyllocarid,1
Bathmoceras australe,Ostracod,1
Bathmoceras australe,Lepadomorph barnacle,1
Bathmoceras australe,Asaphellus sp aff. jujuanus,1
Bathmoceras australe,Kierarges morrisoni,1
Bathmoceras australe,Symphysurus sicardi,1
Bathmoceras australe,Symphysurus ebbestadi,1
Bathmoceras australe,Apatokephalus cf. incisus,1
Bathmoceras australe,undet. Dikelocephalidae,1
Bathmoceras australe,undet. Illaenacea,1
Bathmoceras australe,Orometopus sp.,1
Bathmoceras australe,Cnemidopyge sp.,1
Bathmoceras australe,Parvilichas marochii,1
Bathmoceras australe,Selenopeltis aff. Gallica,1
Bathmoceras australe,Selenopeltis binodosa,1
Bathmoceras australe,Selenopeltis sp. 1,1
Bathmoceras australe,Selenopeltis sp. 2,1
Bathmoceras australe,Foulonia peregrina,1
Bathmoceras australe,Foulonia sp.,1
Bathmoceras australe,Toletanaspis aff. borni,1
Bathmoceras australe,undet. Dalmanitacea,1
Bathmoceras australe,Bathycheilus gallicus,1
Bathmoceras australe,Bavarilla aff. zemmourensis,1
Bathmoceras australe,Bavarilla zemmourensis,1
Bathmoceras australe,Bavarilla sp.,1
Bathmoceras australe,Colpocoryphe thorali,1
Bathmoceras australe,Colpocoryphe pradesensis,1
Bathmoceras australe,Colpocoryphe sp.,1
Bathmoceras australe,Pharostoma sp.,1
Bathmoceras australe,Pharostomina sp. ,1
Bathmoceras australe,Prionocheilus aff. languedocensis,1
Bathmoceras australe,Prionocheilus sp.,1
Bathmoceras australe,Agerina quadrata,1
Bathmoceras australe,Euloma sp.,1
Bathmoceras australe,Geragnostus aff. occitanus,1
Bathmoceras australe,Geragnostus sp.,1
Bathmoceras australe,Beltella sp.,1
Bathmoceras australe,Ampyx priscus,1
Bathmoceras australe,Ampyx cf. priscus,1
Bathmoceras australe,Ceraurinella? sp.,1
Bathmoceras australe,Megalaspidella sp.,1
Bathmoceras australe,Platycoryphe sp.,1
Bathmoceras australe,Parabathycheilus gallicus,1
Bathmoceras australe,Proetidae?,1
Bathmoceras australe,undet. Trinucleidae,1
Bathmoceras australe,Anacheirurus adserai,1
Bathmoceras australe,Eoharpes sp.,1
Bathmoceras australe,Nileus deynouxi,1
Bathmoceras australe,Hospes sp.,1
Bathmoceras australe,Ogygiocaris sp.,1
Bathmoceras australe,Ormathops clariondi,1
Bathmoceras australe,Pterygometopus sp.,1
Bathmoceras australe,Iberocoryphe sp.,1
Bathmoceras australe,cf. Niobella sp.,1
Bathmoceras australe,Somasteroid indet. n. sp. 1,1
Bathmoceras australe,Somasteroid indet. n. sp. 2,1
Bathmoceras australe,Somasteroid indet. n. sp. 3,1
Bathmoceras australe,Somasteroid indet.,1
Bathmoceras australe,undet. Asteroidea,1
Bathmoceras australe,undet. Stelleroidea,1
