CONSUMER;RESOURCE
Billingsites elongatus;Aechmina sp.
Billingsites elongatus;Baltonotella sp.
Billingsites elongatus;Dicranella sp.
Billingsites elongatus;Jonesites sp.
Billingsites elongatus;Cryptophyllus sp.
Billingsites elongatus;Eurychilina sp.
Billingsites elongatus;Anticostiella sp.
Billingsites elongatus;Schmidtella sp.
Billingsites elongatus;Faurella sp.
Billingsites elongatus;Spinigerites sp.
Billingsites elongatus;Foramenella sp.
Billingsites elongatus;Tetradella sp.
Billingsites elongatus;Tvaerenella sp.
Billingsites elongatus;Eographiodactylus sp.
Billingsites elongatus;Steusloffina cuneata
Billingsites elongatus;Elliptocyprites sp.
Billingsites elongatus;Krausella sp.
Billingsites elongatus;Longiscula sp.
Billingsites elongatus;Aviacypris sp.
Billingsites elongatus;Macrocyproides sp.
Billingsites elongatus;Microcheilinella sp.
Billingsites elongatus;Rectella sp.
Billingsites elongatus;Medianella sp.
Billingsites elongatus;Leperditella sp.
Billingsites elongatus;Eokloedenella sp.
Apsidoceras magnificum;Aechmina sp.
Apsidoceras magnificum;Baltonotella sp.
Apsidoceras magnificum;Dicranella sp.
Apsidoceras magnificum;Jonesites sp.
Apsidoceras magnificum;Cryptophyllus sp.
Apsidoceras magnificum;Eurychilina sp.
