CONSUMER;RESOURCE
Dalaspis sp.;Anticostiella sp.
Dalaspis sp.;Gibberella brickensis
Dalaspis sp.;Herrmannina sp.
Dalaspis sp.;Zygobolba sp.
Dalaspis sp.;Jupiterella jupiterensis
Dalaspis sp.;Apatobolbina sp.
Dalaspis sp.;Cyrtocyprus inornata
Dalaspis sp.;Thrallella sp.
Dalaspis sp.;Bairdiocypris sp.
Dalaspis sp.;Punctobeecherella punctata
Dalaspis sp.;Punctomosea sp.
Dalaspis sp.;Menoeidina lavoiei
Dalaspis sp.;Microcheilinella sp.
Dalaspis sp.;Pachydomella sp.
Dalaspis sp.;Conbathella inornata
Dalaspis sp.;Paraschmidtella irregularis
Exallaspis sp.;detritus
Exallaspis sp.;Aechmina sp.
Exallaspis sp.;Paraechmina sp.
Exallaspis sp.;Libumella sp.
Exallaspis sp.;Ulrichia sp.
Exallaspis sp.;Cryptophyllus sp.
Exallaspis sp.;Anticostiella sp.
Exallaspis sp.;Gibberella brickensis
Exallaspis sp.;Herrmannina sp.
Exallaspis sp.;Zygobolba sp.
Exallaspis sp.;Jupiterella jupiterensis
Exallaspis sp.;Apatobolbina sp.
Exallaspis sp.;Cyrtocyprus inornata
Exallaspis sp.;Thrallella sp.
Exallaspis sp.;Bairdiocypris sp.
Exallaspis sp.;Punctobeecherella punctata
Exallaspis sp.;Punctomosea sp.
Exallaspis sp.;Menoeidina lavoiei
Exallaspis sp.;Microcheilinella sp.
Exallaspis sp.;Pachydomella sp.
Exallaspis sp.;Conbathella inornata
Exallaspis sp.;Paraschmidtella irregularis
Kettneraspis sp.;detritus
Kettneraspis sp.;Aechmina sp.
Kettneraspis sp.;Paraechmina sp.
Kettneraspis sp.;Libumella sp.
Kettneraspis sp.;Ulrichia sp.
Kettneraspis sp.;Cryptophyllus sp.
Kettneraspis sp.;Anticostiella sp.
Kettneraspis sp.;Gibberella brickensis
Kettneraspis sp.;Herrmannina sp.
Kettneraspis sp.;Zygobolba sp.
Kettneraspis sp.;Jupiterella jupiterensis
Kettneraspis sp.;Apatobolbina sp.
Kettneraspis sp.;Cyrtocyprus inornata
Kettneraspis sp.;Thrallella sp.
Kettneraspis sp.;Bairdiocypris sp.
Kettneraspis sp.;Punctobeecherella punctata
Kettneraspis sp.;Punctomosea sp.
Kettneraspis sp.;Menoeidina lavoiei
Kettneraspis sp.;Microcheilinella sp.
Kettneraspis sp.;Pachydomella sp.
Kettneraspis sp.;Conbathella inornata
Kettneraspis sp.;Paraschmidtella irregularis
Stelckaspis sp.;detritus
Stelckaspis sp.;Aechmina sp.
Stelckaspis sp.;Paraechmina sp.
Stelckaspis sp.;Libumella sp.
Stelckaspis sp.;Ulrichia sp.
Stelckaspis sp.;Cryptophyllus sp.
Stelckaspis sp.;Anticostiella sp.
Stelckaspis sp.;Gibberella brickensis
Stelckaspis sp.;Herrmannina sp.
Stelckaspis sp.;Zygobolba sp.
Stelckaspis sp.;Jupiterella jupiterensis
Stelckaspis sp.;Apatobolbina sp.
Stelckaspis sp.;Cyrtocyprus inornata
Stelckaspis sp.;Thrallella sp.
Stelckaspis sp.;Bairdiocypris sp.
Stelckaspis sp.;Punctobeecherella punctata
Stelckaspis sp.;Punctomosea sp.
Stelckaspis sp.;Menoeidina lavoiei
Stelckaspis sp.;Microcheilinella sp.
Stelckaspis sp.;Pachydomella sp.
Stelckaspis sp.;Conbathella inornata
Stelckaspis sp.;Paraschmidtella irregularis
Acernaspis sp.;detritus
Acernaspis sp.;Aechmina sp.
Acernaspis sp.;Paraechmina sp.
Acernaspis sp.;Libumella sp.
Acernaspis sp.;Ulrichia sp.
Acernaspis sp.;Cryptophyllus sp.
Acernaspis sp.;Anticostiella sp.
Acernaspis sp.;Gibberella brickensis
Acernaspis sp.;Herrmannina sp.
Acernaspis sp.;Zygobolba sp.
Acernaspis sp.;Jupiterella jupiterensis
Acernaspis sp.;Apatobolbina sp.
Acernaspis sp.;Cyrtocyprus inornata
Acernaspis sp.;Thrallella sp.
Acernaspis sp.;Bairdiocypris sp.
Acernaspis sp.;Punctobeecherella punctata
Acernaspis sp.;Punctomosea sp.
Acernaspis sp.;Menoeidina lavoiei
Acernaspis sp.;Microcheilinella sp.
Acernaspis sp.;Pachydomella sp.
Acernaspis sp.;Conbathella inornata
Acernaspis sp.;Paraschmidtella irregularis
Dalmanites caudatus jupiterensis;Aechmina sp.
Dalmanites caudatus jupiterensis;Paraechmina sp.
Dalmanites caudatus jupiterensis;Libumella sp.
Dalmanites caudatus jupiterensis;Ulrichia sp.
Dalmanites caudatus jupiterensis;Cryptophyllus sp.
Dalmanites caudatus jupiterensis;Anticostiella sp.
Dalmanites caudatus jupiterensis;Gibberella brickensis
Dalmanites caudatus jupiterensis;Herrmannina sp.
Dalmanites caudatus jupiterensis;Zygobolba sp.
Dalmanites caudatus jupiterensis;Jupiterella jupiterensis
Dalmanites caudatus jupiterensis;Apatobolbina sp.
Dalmanites caudatus jupiterensis;Cyrtocyprus inornata
Dalmanites caudatus jupiterensis;Thrallella sp.
Dalmanites caudatus jupiterensis;Bairdiocypris sp.
Dalmanites caudatus jupiterensis;Punctobeecherella punctata
Dalmanites caudatus jupiterensis;Punctomosea sp.
Dalmanites caudatus jupiterensis;Menoeidina lavoiei
Dalmanites caudatus jupiterensis;Microcheilinella sp.
Dalmanites caudatus jupiterensis;Pachydomella sp.
Dalmanites caudatus jupiterensis;Conbathella inornata
Dalmanites caudatus jupiterensis;Paraschmidtella irregularis
Dalmanites caudatus jupiterensis;Aulacognathus bullatus
Dalmanites caudatus jupiterensis;Distomodus sp.
Dalmanites caudatus jupiterensis;Icriodella sp.
Dalmanites caudatus jupiterensis;Pterospathodus sp.
Dalmanites caudatus jupiterensis;Walliserodus curvatus
Dalmanites caudatus jupiterensis;Dapsilodus obliquicostatus
Dalmanites caudatus jupiterensis;Panderodus sp.
Dalmanites caudatus jupiterensis;Oulodus sp.
Dalmanites caudatus jupiterensis;Ozarkodina sp.
Dalmanites caudatus jupiterensis;Decoriconus sp.
Dalmanites caudatus jupiterensis;Pseudooneotodus beckmanni
Dalmanites caudatus jupiterensis;detritus
Bessazoon gibbae;detritus
Bessazoon gibbae;Aechmina sp.
Bessazoon gibbae;Paraechmina sp.
Bessazoon gibbae;Libumella sp.
Bessazoon gibbae;Ulrichia sp.
Bessazoon gibbae;Cryptophyllus sp.
Bessazoon gibbae;Anticostiella sp.
Bessazoon gibbae;Gibberella brickensis
Bessazoon gibbae;Herrmannina sp.
Bessazoon gibbae;Zygobolba sp.
Bessazoon gibbae;Jupiterella jupiterensis
Bessazoon gibbae;Apatobolbina sp.
Bessazoon gibbae;Cyrtocyprus inornata
Bessazoon gibbae;Thrallella sp.
Bessazoon gibbae;Bairdiocypris sp.
Bessazoon gibbae;Punctobeecherella punctata
Bessazoon gibbae;Punctomosea sp.
Bessazoon gibbae;Menoeidina lavoiei
Bessazoon gibbae;Microcheilinella sp.
Bessazoon gibbae;Pachydomella sp.
Bessazoon gibbae;Conbathella inornata
Bessazoon gibbae;Paraschmidtella irregularis
Daytonia jollieti;detritus
Daytonia jollieti;Aechmina sp.
Daytonia jollieti;Paraechmina sp.
Daytonia jollieti;Libumella sp.
Daytonia jollieti;Ulrichia sp.
Daytonia jollieti;Cryptophyllus sp.
Daytonia jollieti;Anticostiella sp.
Daytonia jollieti;Gibberella brickensis
Daytonia jollieti;Herrmannina sp.
Daytonia jollieti;Zygobolba sp.
Daytonia jollieti;Jupiterella jupiterensis
Daytonia jollieti;Apatobolbina sp.
Daytonia jollieti;Cyrtocyprus inornata
Daytonia jollieti;Thrallella sp.
Daytonia jollieti;Bairdiocypris sp.
Daytonia jollieti;Punctobeecherella punctata
Daytonia jollieti;Punctomosea sp.
Daytonia jollieti;Menoeidina lavoiei
Daytonia jollieti;Microcheilinella sp.
Daytonia jollieti;Pachydomella sp.
Daytonia jollieti;Conbathella inornata
Daytonia jollieti;Paraschmidtella irregularis
Calymene sp.;detritus
Calymene sp.;Thurammina sp.
Calymene sp.;Aulacognathus bullatus
Calymene sp.;Distomodus sp.
Calymene sp.;Icriodella sp.
